Districts,Neighbourhood,Latitude,Longitude
New Delhi,Gautampuri,28.679175,77.264484
New Delhi,Gole Market,28.633434,77.20724
New Delhi,Golf Links,28.5989,77.2317
New Delhi,INA Colony,28.576736999999998,77.214896
New Delhi,Khan Market,28.600341999999998,77.22691999999999
New Delhi,Laxmibai Nagar,28.66667,77.21667
New Delhi,Pragati Maidan,28.61682,77.24369
East Delhi,Brij Puri,28.66667,77.21667
East Delhi,East Vinod Nagar,28.66667,77.21667
East Delhi,Gandhi Nagar,28.661136,77.261843
East Delhi,Geeta Colony,28.652029,77.270884
East Delhi,Jhilmil Colony,28.6677,77.3107
East Delhi,Krishna Nagar,28.65975,77.28255
East Delhi,Laxmi Nagar,28.633606,77.278786
East Delhi,Mayur Vihar,28.6077,77.2992
East Delhi,Pandav Nagar,28.6159,77.2828
East Delhi,Patparganj,28.635056,77.30388
East Delhi,Preet Vihar,28.638,77.2936
East Delhi,Anand Vihar,28.651940999999997,77.31198499999999
East Delhi,Shakarpur,28.628653999999997,77.279172
East Delhi,Shastri Nagar,28.675218,77.177262
East Delhi,Silampur,28.66667,77.21667
East Delhi,Vasundhara Enclave,28.6006,77.3191
East Delhi,Vishwas Nagar,28.66667,77.21667
East Delhi,Vivek Vihar,28.66667,77.21667
East Delhi,Shahdara,28.6679,77.2983
South Delhi,Alaknanda,28.5254,77.2538
South Delhi,Chhattarpur,28.4985,77.1825
South Delhi,Chittaranjan Park,28.5402,77.2481
South Delhi,Dayanand Colony,28.468071000000002,77.06524
South Delhi,Defence Colony,28.5734,77.2307
South Delhi,East of Kailash,28.55708,77.24452099999999
South Delhi,Friends Colony,28.569000000000003,77.25795
South Delhi,Govindpuri,28.532374,77.263288
South Delhi,Greater Kailash,28.5443,77.2397
South Delhi,Green Park,28.556775,77.20373599999999
South Delhi,Gulmohar Park,28.557014000000002,77.213273
South Delhi,Hauz Khas,28.550475,77.207776
South Delhi,Hauz Khas Village,28.554309999999997,77.19514000000001
South Delhi,Jaitpur,28.506995,77.32863499999999
South Delhi,Jamroodpur Village,28.5571,77.2369
South Delhi,Jangpura,28.66667,77.21667
South Delhi,Jasola,28.539394,77.28945999999999
South Delhi,Jor Bagh,28.588521000000004,77.216364
South Delhi,Kailash Colony,28.5538,77.242
South Delhi,Kalkaji,28.5417,77.2586
South Delhi,Khanpur,28.508934000000004,77.230639
South Delhi,Khirki Village,28.531065,77.218549
South Delhi,Kotla Mubarakpur,28.574310999999998,77.224925
South Delhi,Lajpat Nagar,28.57889,77.24389000000001
South Delhi,Lodi Colony,28.66667,77.21667
South Delhi,Maharani Bagh,28.5707,77.2631
South Delhi,Malviya Nagar,28.5353,77.2109
South Delhi,Mehrauli,28.515829999999998,77.1775
South Delhi,Neeti Bagh,28.559575,77.21699
South Delhi,Nehru Place,28.548388,77.251564
South Delhi,Netaji Nagar,28.576188000000002,77.186575
South Delhi,New Friends Colony,28.5631,77.2711
South Delhi,Nizamuddin West,28.591388000000002,77.24243299999999
South Delhi,Okhla,28.550606,77.27002
South Delhi,Pulpehaladpur,28.4994,77.2918
South Delhi,Safdarjung Enclave,28.565,77.1972
South Delhi,Sainik Farm,28.509869000000002,77.200195
South Delhi,Saket,28.51918,77.21301
South Delhi,Sarita Vihar,28.5336,77.2924
South Delhi,Sarojini Nagar,28.5795,77.1971
South Delhi,Sarvodaya Enclave,28.5374,77.1983
South Delhi,Shahpur Jat,28.548556,77.213534
South Delhi,Siri Fort,28.55,77.223801
South Delhi,South Extension,28.66667,77.21667
South Delhi,Sriniwaspuri,28.566045000000003,77.255339
South Delhi,Sundar Nagar[1],28.6037,77.24105
South Delhi,Tughlaqabad,28.5149,77.2688
South Delhi,Badarpur,28.5023,77.3022
South West Delhi,"Dabri, New Delhi",28.610190999999997,77.084012
South West Delhi,Dwarka Sub City,28.598125,77.06366
South West Delhi,Delhi Cantonment,28.59025,77.13192
South West Delhi,Dhaula Kuan,28.597009999999997,77.164612
South West Delhi,Ghitorni,28.491077,77.14200600000001
South West Delhi,Inderpuri,28.6309,77.1466
South West Delhi,Kirby Place,28.607322999999997,77.125631
South West Delhi,Kishangarh Village,28.66667,77.21667
South West Delhi,Mahipalpur,28.5437,77.1282
South West Delhi,Moti Bagh,28.5833,77.1833
South West Delhi,Munirka,28.555178,77.17625
South West Delhi,Najafgarh,28.6125,76.98472
South West Delhi,Naraina,28.66667,77.21667
South West Delhi,Palam,28.582276,77.08591
South West Delhi,Rama Krishna Puram,28.66667,77.21667
South West Delhi,Rajokri,28.5031,77.11106
South West Delhi,Rangpuri,28.533942,77.114579
South West Delhi,Sarojini Nagar,28.5795,77.1971
South West Delhi,Sagar Pur,28.66667,77.21667
South West Delhi,Vasant Kunj,28.5105,77.1652
South West Delhi,Vasant Vihar,28.5574,77.15899999999999
West Delhi,Ashok Nagar,28.59742,77.19645
West Delhi,Bali Nagar,28.6541,77.1274
West Delhi,Dhaula Kuan,28.597009999999997,77.164612
West Delhi,Fateh Nagar,28.632087,77.10090699999999
West Delhi,Janakpuri,28.62,77.09444
West Delhi,Kirti Nagar,28.6523,77.141
West Delhi,Meera Bagh,28.60489,77.208182
West Delhi,Moti Nagar,28.662407,77.139149
West Delhi,Nehru Nagar,28.570172999999997,77.251235
West Delhi,Partap Nagar,28.670106,77.195115
West Delhi,Paschim Vihar,28.6685,77.0999
West Delhi,Patel Nagar,28.6505,77.1691
West Delhi,Punjabi Bagh,28.667509999999996,77.12125999999999
West Delhi,Rajouri Garden,28.644603999999998,77.124985
West Delhi,Shivaji Place,28.66667,77.21667
West Delhi,Tihar Village,28.632234000000004,77.107173
West Delhi,Tilak Nagar,28.6396,77.0884
West Delhi,Uttam Nagar,28.616834000000004,77.05511800000001
West Delhi,Vikas Nagar,28.634465000000002,77.051688
West Delhi,Vikaspuri,28.633329999999997,77.075
